titulo;descricao;motivo;imagem
Lips hehehe;Foto espontânea da Lara tocando os lábios.;Foto muito boa e sex appeal muito alto hehe;Lara_lips.png
Só existindo;Outra foto espontânea da senhorita Lara, dessa vez aparenta estar lendo algo.;Beleza espontânea, plenamente linda.;laraplena.jpeg
Só existindo 2;Mais uma foto espontânea (estou começando a perceber um padrão...);Similar com a foto anterior, porém a roupa e os brincos, somado com a beleza facial e do cabelo fazem dessa foto uma perfeita candidata (uma das minhas favoritas) para concorrer no concurso de fotos desse museu.;laraplenty.png
Mona Lisa;Mais uma foto espontânea... tem alguma coisa de errado...;O fundo é só um bônus, mas combina muito bem com a expressão levemente alegre, que é realmente mutio bonita (Now, did you get the reference with the title?). Ah, e o cabelo também tá bonito.;larafundo.png
Dancinha;Estou começando a achar que não adianta mais falar que uma imagem é espontânea... estou ficando sem desculpas...;Fundo temático igual ao anterior, mas essa pose é icônica demais, não tem como. Ah, você também tá bonita;larafundo2.png
Encarada;Lara com fundo de novo, parece estar encarando algo (muito provavelmente eu, muito provavelmente depois de fazer algum <strong>shenanigang</strong>.;Sua cara me encarando, novamente de forma <i>espontânea</i>, é muito boa. Eu não sei se você está decepcionada ou impressionada comigo KKK;lara4.png
Ocupada;Lara vanilla, casualmente olhando pra baixo, provavelmente pro celular.;Simplesmente você plena, não tem outro motivo. Ah, você está bonita.;laradown.jpeg
Nhac Nom Nom Nom;Lara comendo o joelho;Self explanatory. Lara nham nham herself.;nhac.jpeg
To be or not to be?;Lara pensativa. Ah, esqueci, essa e a foto anterior foram espontâneas também. Alguém me ajuda, isso não tá ficando bom pra mim... por favor eu NÃO tiro fotos escondidas de você...;Acho essa pose muito icônica também, você está pensativa de uma forma divertida, não tinha como não adicionar nesse panteão. Único exemplar que possuo da "Lara pensativa".;larahmm.png
Lara 0.5 zoom;Lara linguinha close up com lightstick do Stray Kids;Lara linguinha close up com lightstick do Stray Kids;larazoom.png
Ain que sexy;Lara muito <strong>RIZZ INFINITO</strong>, destruidora de homens.;Não resisti ao seu rizz e tive que adicionar.;lara_lip_biting.png
No one can see me;Encobertada por o que parece ser uma almofada de osso de cachorro rosa e um porquinho vestido de gatinho em forma de pelúcia. I CAN SEE YOUR EYE (looks really pretty).;Eu amo fotos que você fica assim toda escondidinha, tanto essa quanto aquela que você tá embaixo do cobertor e com a tartura em cima da cabeça são muito boas, dígnas de estar nesse top sei lá quantas fotos da Lara. Also, seu olhinho tá muito bonitinho hehehe;laraescondida.png
Duas gatinhas;Beijinho na Frida. AI QUE CUTI CUTI;Por último, mas não menos importante, e pessoalmente, uma das minhas prediletas. Nessa foto, você além de muito bonita, com iluminação ótima, está muito fofa. Pra melhorar tudo mais ainda, tem a querida Frida aí, só existindo, aceitando seus beijinhos. Amo essa foto de coração, acho muito fofa.;lara_e_frida.png
